imprint-register-keeper;Registrar
imprint-contact-person;Kontakt Person
imprint-register-name;Registrierungsname
imprint-purpose-and-use-of-the-register;Verwendungszweck der Domain
imprint-register-content;Datenschutz
imprint-customer-data-content;Benutzerdaten
imprint-required-information;Pflichtangaben
imprint-these-must-be-given-in-order-to-register;Folgende Daten werden für die Registrierung benötigt
imprint-user-name;Benutzername
imprint-password;Passwort
imprint-email;E-mail
imprint-hometown;Ort
imprint-status;Status
imprint-working-in-private-sector;Arbeiten in der Privatwirtschaft
imprint-working-in-public-sector;Öffentliches Institut
imprint-student;Student
imprint-senior-citizen;Senior
imprint-other;Sonstiges
imprint-in-addition-the-user-may-voluntarily-provide-other-information-such-as;Optionale Angaben
imprint-first-name;Vorname
imprint-last-name;Nachname
imprint-gender;Geschlecht
imprint-date-of-birth;Geburtsdatum
imprint-country-of-residence;Herkunft
imprint-user-interface-language;Sprache
imprint-biography;Biographie
imprint-web-links;Weblinks
imprint-position-title;Position / Titel
imprint-employer-organization;Arbeitgeber / Organisation
imprint-time-zone;Zeitzone
imprint-openid;OpenID
imprint-regular-data-sources;Datenquellen
imprint-customer-given-information;Benutzerangaben
imprint-regular-data-transfer-and-disclosure-to-the-eu-and-or-outside-eu;Regular data transfer and disclosure to the EU and/or outside EU
imprint-data-protection-principles;Grundsätze des Datenschutzes
imprint-private-customer-information-will-not-be-disclosed-to-a-third-party;Personenbezogene Daten werden nicht an Dritte weitergegeben
imprint-private-information-is-password-protected-and-accessed-only-by-defined-persons;Personenbezogene Daten sind Passwort geschützt, sowie nur für bestimmte Personen zugänglich
imprint-images-and-photos;Bilder und Grafiken
imprint-startpage;Startseite




